FID,Id,Flood_poi,NEAR_FID,NEAR_DIST,DEM_FINAL,Slope,Aspect,Curvature
97,0,1,7,471.599373920999994,2184.6201172,35.4053993,302.6250000,-2.6231301
98,0,1,7,0.000000000465661,1980.9300537,19.8029003,305.9469910,-0.3549950
99,0,1,7,0.000000000116415,2112.2399902,19.0631008,28.7625008,-0.4446530
100,0,1,7,0.000000000000000,2927.2399902,45.0838013,223.0229950,-2.2072501
101,0,1,7,0.000000000000000,3062.2500000,31.9641991,300.1289978,0.9892140
102,0,1,13,0.000000000116415,3182.8601074,11.5688000,26.4748993,-0.4220280
103,0,1,13,0.000000000116415,3182.8601074,11.5688000,26.4748993,-0.4220280
104,0,1,9,468.196901669999988,3531.3000488,42.8745003,170.3079987,1.5259500
105,0,1,9,0.000000000000000,3267.8701172,32.0917015,292.1499939,-1.2860000
106,0,1,9,0.000000000116415,3148.9799805,13.2636003,245.2940063,-0.2163540
107,0,1,9,0.000000000116415,3148.9799805,13.2636003,245.2940063,-0.2163540
108,0,1,12,0.000000000520625,3336.1398926,31.4218998,2.5727201,0.0772518
109,0,1,12,0.000000000520625,3336.1398926,31.4218998,2.5727201,0.0772518
110,0,1,12,0.000000000000000,3533.8601074,33.6352005,263.4630127,0.4255230
111,0,1,12,0.000000000000000,3729.2900391,23.2339001,53.2204018,2.1065199
112,0,0,7,0.000000000000000,1268.9300537,12.3049002,286.9570007,-0.5957460
113,0,1,5,0.000000000116415,1312.6500244,37.4006996,218.8170013,-0.9746910
114,0,1,5,0.000000000000000,1105.2800293,18.3957996,49.4870987,0.6713890
115,0,1,5,0.000000000465661,1107.5699463,5.2696199,209.4839935,1.9410599
116,0,1,20,0.000000000000000,1211.2500000,5.2484798,174.8309937,-0.1923890
117,0,1,20,377.200456524000003,1236.6300049,39.8487015,288.0239868,-7.5265002
118,0,1,20,523.149884121000014,1216.6600342,23.8602009,10.8653002,0.6894480
119,0,1,20,0.000000000000000,1299.0999756,29.2229004,236.5059967,1.7910800
120,0,1,5,0.000000000465661,1248.5699463,16.5249996,208.8630066,0.7365800
121,0,1,5,507.216742609999983,1239.1300049,9.9941998,10.5393000,-0.6928120
122,0,1,5,0.000000000465661,1095.1300049,15.6840000,136.2749939,0.4780000
123,0,0,5,0.000000000000000,1098.5699463,13.1703997,182.5690002,-0.0131427
124,0,0,5,0.000000000000000,1310.5000000,24.0923004,39.1931000,0.1487880
125,0,1,5,0.000000000000000,1055.1700439,6.0620499,28.7880993,-0.5458510
126,0,0,5,0.000000000000000,1098.5699463,13.1703997,182.5690002,-0.0131427
127,0,0,5,0.000000000465661,1066.2900391,7.6079302,64.7645035,1.0684500
128,0,1,5,0.000000000000000,1144.5100098,37.9522018,338.1690063,0.9545370
129,0,1,5,0.000000000000000,1191.7700195,51.1689987,34.1827011,0.2705060
130,0,1,5,0.000000000000000,1144.5100098,37.9522018,338.1690063,0.9545370
131,0,1,5,0.000000000000000,1037.9499512,11.5240002,54.6347008,-0.3689620
132,0,1,5,0.000000000000000,1055.1700439,6.0620499,28.7880993,-0.5458510
133,0,1,5,0.000000000000000,1101.7800293,15.3504000,339.2319946,-1.2444201
134,0,1,5,0.000000000000000,1004.4099731,3.1933999,262.1770020,-0.3334220
135,0,1,5,0.000000000000000,1085.1999512,5.4383502,209.3480072,1.1110500
136,0,1,5,0.000000000465661,1095.1300049,15.6840000,136.2749939,0.4780000
137,0,1,6,0.000000000000000,1013.9600220,6.2571201,248.3130035,1.8448000
138,0,1,6,0.000000000116415,1193.8100586,36.3860016,305.6879883,0.3378160
139,0,1,20,0.000000000479993,1974.0999756,33.1759987,32.9039993,1.9187300
140,0,1,20,0.000000000116415,1743.1700439,12.4245996,280.8619995,-4.3171101
141,0,1,20,0.000000000000000,1627.0300293,44.9197006,80.1324997,-1.3253400
142,0,1,19,0.000000000000000,1761.1999512,28.3959999,79.7332993,-0.1133900
143,0,1,5,0.000000000000000,1479.5999756,26.8418999,53.8306007,0.9691490
144,0,1,5,0.000000000000000,1515.4799805,8.1150303,240.0619965,-0.7723670
145,0,1,14,0.000000000465661,1795.1600342,35.0513000,265.0740051,-0.5771540
146,0,1,14,0.000000000000000,1771.0400391,38.6239014,57.1866989,1.4761600
147,0,1,14,0.000000000116415,1494.3399658,25.0755997,305.9460144,-2.0973799
148,0,1,5,0.000000000000000,1479.5999756,26.8418999,53.8306007,0.9691490
149,0,1,5,0.000000000116415,1563.1600342,42.2251015,293.7940063,-0.4992510
150,0,1,5,0.000000000232831,1558.0799561,33.4202003,168.2519989,0.3581480
151,0,1,5,0.000000000232831,1436.0300293,19.7751999,140.7169952,2.0011499
152,0,1,5,0.000000000116415,1445.6800537,18.0757008,124.9840012,-1.2064000
153,0,1,5,0.000000000116415,1642.1099854,31.3892994,229.1009979,-1.8340200
154,0,1,8,0.000000000000000,3084.6201172,44.9659004,7.9419398,1.4120899
155,0,1,8,0.000000000000000,2535.9399414,10.3620996,343.2749939,-1.2775900
156,0,1,8,0.000000000000000,2175.5500488,32.7486992,148.6490021,-0.8566970
157,0,1,8,0.000000000000000,2175.5500488,32.7486992,148.6490021,-0.8566970
158,0,1,8,0.000000000000000,2368.1899414,40.6958008,312.6489868,-0.5523730
159,0,1,8,0.000000000000000,2663.2800293,16.1238995,190.6580048,-0.1947410
160,0,1,9,0.000000000000000,3242.1201172,28.4151993,142.0030060,-2.5458200
161,0,1,8,1139.780638219999901,3014.3200684,31.3966999,39.5852013,1.3128200
162,0,1,8,1139.780638219999901,3014.3200684,31.3966999,39.5852013,1.3128200
